,Features,Classifier,Accuracy,Kappa,MCC,Macro-F1,Brier,ECE,Time(s)
0,all_7,RandomForest,0.9950±0.0009,0.9948,0.9948,0.9950,0.0007,0.0430,1.8
1,all_7,SVM_RBF,0.9877±0.0051,0.9871,0.9872,0.9878,0.0015,0.1107,0.7
2,all_7,KNN,0.9732±0.0075,0.9719,0.9721,0.9730,0.0019,0.0238,0.2
3,all_7,DecisionTree,0.9895±0.0031,0.9890,0.9891,0.9895,0.0009,0.0103,0.1
4,all_7,GradientBoosting,0.9855±0.0096,0.9848,0.9848,0.9855,0.0010,0.0114,41.6
5,all_7,LogisticRegression,0.9709±0.0058,0.9695,0.9696,0.9709,0.0036,0.1298,0.2
6,all_7,MLP,0.9727±0.0109,0.9714,0.9715,0.9727,0.0018,0.0222,2.3
7,all_7,GaussianNB,0.9945±0.0023,0.9943,0.9943,0.9945,0.0004,0.0069,0.1
8,all_7,XGBoost,0.9909±0.0032,0.9905,0.9905,0.9909,0.0007,0.0136,2.2
9,all_7,LightGBM,0.9918±0.0053,0.9914,0.9914,0.9918,0.0006,0.0068,2.9
10,mi_top_5,RandomForest,0.9905±0.0030,0.9900,0.9900,0.9904,0.0009,0.0368,2.1
11,mi_top_5,SVM_RBF,0.9791±0.0063,0.9781,0.9782,0.9791,0.0021,0.1124,0.9
12,mi_top_5,KNN,0.9677±0.0065,0.9662,0.9664,0.9676,0.0022,0.0218,0.5
13,mi_top_5,DecisionTree,0.9891±0.0063,0.9886,0.9886,0.9890,0.0009,0.0104,0.4
14,mi_top_5,GradientBoosting,0.9818±0.0085,0.9810,0.9810,0.9818,0.0014,0.0149,33.5
15,mi_top_5,LogisticRegression,0.9573±0.0068,0.9552,0.9554,0.9569,0.0060,0.1896,0.6
16,mi_top_5,MLP,0.9695±0.0181,0.9681,0.9683,0.9691,0.0023,0.0389,2.5
17,mi_top_5,GaussianNB,0.9873±0.0037,0.9867,0.9867,0.9872,0.0009,0.0116,0.4
18,mi_top_5,XGBoost,0.9859±0.0017,0.9852,0.9853,0.9859,0.0009,0.0115,2.4
19,mi_top_5,LightGBM,0.9877±0.0040,0.9871,0.9872,0.9877,0.0008,0.0094,2.9
20,mi_top_4,RandomForest,0.9782±0.0034,0.9771,0.9772,0.9780,0.0014,0.0264,2.1
21,mi_top_4,SVM_RBF,0.9695±0.0042,0.9681,0.9682,0.9696,0.0028,0.1080,0.8
22,mi_top_4,KNN,0.9673±0.0023,0.9657,0.9658,0.9668,0.0022,0.0171,0.5
23,mi_top_4,DecisionTree,0.9736±0.0053,0.9724,0.9724,0.9737,0.0023,0.0234,0.4
24,mi_top_4,GradientBoosting,0.9664±0.0055,0.9648,0.9648,0.9668,0.0026,0.0297,31.2
25,mi_top_4,LogisticRegression,0.9436±0.0124,0.9410,0.9411,0.9424,0.0080,0.2320,0.6
26,mi_top_4,MLP,0.9559±0.0047,0.9538,0.9540,0.9558,0.0031,0.0411,2.3
27,mi_top_4,GaussianNB,0.9745±0.0030,0.9733,0.9734,0.9745,0.0016,0.0185,0.4
28,mi_top_4,XGBoost,0.9723±0.0039,0.9710,0.9710,0.9723,0.0019,0.0132,2.4
29,mi_top_4,LightGBM,0.9750±0.0072,0.9738,0.9738,0.9748,0.0021,0.0227,3.0
30,mi_top_3,RandomForest,0.9645±0.0023,0.9629,0.9630,0.9646,0.0031,0.0607,1.9
31,mi_top_3,SVM_RBF,0.9445±0.0042,0.9419,0.9425,0.9431,0.0045,0.1162,0.8
32,mi_top_3,KNN,0.9400±0.0146,0.9371,0.9375,0.9381,0.0040,0.0274,0.5
33,mi_top_3,DecisionTree,0.9505±0.0092,0.9481,0.9482,0.9504,0.0041,0.0416,0.4
34,mi_top_3,GradientBoosting,0.9555±0.0047,0.9533,0.9534,0.9558,0.0036,0.0384,30.1
35,mi_top_3,LogisticRegression,0.9023±0.0080,0.8976,0.8983,0.8971,0.0139,0.3144,0.6
36,mi_top_3,MLP,0.9364±0.0076,0.9333,0.9336,0.9357,0.0044,0.0403,3.2
37,mi_top_3,GaussianNB,0.9541±0.0049,0.9519,0.9523,0.9533,0.0031,0.0233,0.4
38,mi_top_3,XGBoost,0.9545±0.0073,0.9524,0.9525,0.9544,0.0033,0.0223,2.5
39,mi_top_3,LightGBM,0.9545±0.0069,0.9524,0.9525,0.9547,0.0038,0.0419,3.2
40,sec_all_12,RandomForest,0.9068±0.0128,0.8224,0.8250,0.7021,0.0508,0.0755,1.3
41,sec_all_12,SVM_RBF,0.8352±0.0152,0.6982,0.6988,0.6668,0.0691,0.0558,0.2
42,sec_all_12,KNN,0.8170±0.0214,0.6488,0.6516,0.5578,0.0906,0.0719,0.2
43,sec_all_12,DecisionTree,0.8716±0.0205,0.7649,0.7664,0.7365,0.0810,0.1222,0.1
44,sec_all_12,GradientBoosting,0.9068±0.0163,0.8267,0.8273,0.8017,0.0584,0.0863,5.1
45,sec_all_12,LogisticRegression,0.7205±0.0056,0.5341,0.5509,0.5878,0.1227,0.0817,0.1
46,sec_all_12,MLP,0.8750±0.0095,0.7596,0.7636,0.5972,0.0689,0.0808,0.6
47,sec_all_12,GaussianNB,0.5091±0.0331,0.2023,0.2736,0.3584,0.2452,0.3504,0.1
48,sec_all_12,XGBoost,0.9057±0.0133,0.8236,0.8244,0.7776,0.0533,0.0749,0.8
49,sec_all_12,LightGBM,0.9000±0.0163,0.8131,0.8138,0.7814,0.0590,0.0904,0.6
50,sec_mi_top_6,RandomForest,0.9159±0.0116,0.8429,0.8435,0.8104,0.0473,0.0511,1.3
51,sec_mi_top_6,SVM_RBF,0.8682±0.0127,0.7635,0.7662,0.7385,0.0567,0.0416,0.3
52,sec_mi_top_6,KNN,0.8682±0.0295,0.7469,0.7503,0.6086,0.0701,0.0697,0.3
53,sec_mi_top_6,DecisionTree,0.8784±0.0105,0.7758,0.7769,0.7647,0.0750,0.1132,0.2
54,sec_mi_top_6,GradientBoosting,0.8909±0.0201,0.7970,0.7976,0.7686,0.0655,0.0982,3.5
55,sec_mi_top_6,LogisticRegression,0.7409±0.0142,0.5685,0.5870,0.6053,0.1212,0.1084,0.2
56,sec_mi_top_6,MLP,0.8886±0.0217,0.7865,0.7906,0.6559,0.0749,0.1223,0.8
57,sec_mi_top_6,GaussianNB,0.7875±0.0720,0.6082,0.6250,0.5779,0.1062,0.0950,0.2
58,sec_mi_top_6,XGBoost,0.9011±0.0163,0.8148,0.8155,0.7709,0.0552,0.0733,0.7
59,sec_mi_top_6,LightGBM,0.9011±0.0163,0.8156,0.8161,0.7774,0.0588,0.0902,0.6
60,sec_mi_top_4,RandomForest,0.9114±0.0128,0.8355,0.8361,0.7941,0.0484,0.0507,1.3
61,sec_mi_top_4,SVM_RBF,0.8614±0.0205,0.7520,0.7554,0.7357,0.0535,0.0465,0.3
62,sec_mi_top_4,KNN,0.8830±0.0185,0.7761,0.7792,0.6579,0.0608,0.0718,0.3
63,sec_mi_top_4,DecisionTree,0.8636±0.0269,0.7502,0.7518,0.7349,0.0802,0.1242,0.2
64,sec_mi_top_4,GradientBoosting,0.8943±0.0122,0.8032,0.8038,0.7677,0.0627,0.0932,2.9
65,sec_mi_top_4,LogisticRegression,0.7523±0.0298,0.5888,0.6087,0.6225,0.1202,0.1460,0.2
66,sec_mi_top_4,MLP,0.8898±0.0240,0.7887,0.7920,0.6423,0.0759,0.1440,0.7
67,sec_mi_top_4,GaussianNB,0.7693±0.0867,0.5783,0.5989,0.5651,0.1107,0.1001,0.2
68,sec_mi_top_4,XGBoost,0.9023±0.0154,0.8176,0.8180,0.7939,0.0541,0.0721,0.6
69,sec_mi_top_4,LightGBM,0.8955±0.0137,0.8057,0.8060,0.7824,0.0591,0.0882,0.6
