,feature,mutual_info,chi2,rf_importance,extratrees,lasso,rfe,mean_score
0,N,0.9999999998024214,0.9999999999995738,0.9999999998020512,0.9999999997867072,0.9999999999521696,1.0,0.9999999998904872
1,P,0.3117249425244063,0.31061967763907833,0.2162679799391862,0.16611450977146366,0.255088558318659,0.9166666666666666,0.36274705580991
3,pH,0.15402308310077617,0.1398383927863425,0.04266082545385499,0.021464869972051045,0.019579994202819844,0.75,0.18792786091930744
8,Fe,0.06967880196431885,0.035601255033569576,0.028061593778946632,0.001421930425609056,0.007010222105932855,0.8333333333333334,0.1625178561069517
2,K,0.09400450444774364,0.006032164900624082,0.02105426896532183,0.011325632506328938,0.011798527188280209,0.5833333333333334,0.121258071890272
9,Cu,0.008025110004725354,0.01219307280358983,0.028082047592732133,0.009446536829076731,0.002531121472560214,0.6666666666666666,0.12115742589489181
11,B,0.012079584402204063,0.017223912973392763,0.017472197170621828,0.01071505390119676,0.11979584124554889,0.5,0.11288109828216071
10,Mn,0.030076672360820973,0.03170384219795169,0.01958931666801689,0.008174709226338468,0.03879945246518741,0.4166666666666667,0.09083510993083034
7,Zn,0.00931724251294318,0.13292271926430047,0.007524234075104273,0.004010674296822105,0.014182850606405884,0.3333333333333333,0.08354850901481821
6,S,0.0,0.01025782013288172,0.004349259252881576,0.0004037897044895965,0.015472829276165577,0.25,0.04674728306106974
5,OC,0.012388110109223374,0.023622576490464817,0.0002204715158192978,0.0,0.00838353902578015,0.16666666666666666,0.035213560634659045
4,EC,0.009912543963201906,0.0,0.0,0.0016087225983906237,0.0,0.08333333333333333,0.015809099982487643
