,Features,Classifier,Accuracy,Kappa,MCC,Macro-F1,Brier,ECE,Time(s)
0,all_7,RandomForest,0.9950±0.0009,0.9948,0.9948,0.9950,0.0007,0.0429,2.0
1,all_7,SVM_RBF,0.9877±0.0051,0.9871,0.9872,0.9878,0.0015,0.1108,0.7
2,all_7,KNN,0.9732±0.0075,0.9719,0.9721,0.9730,0.0019,0.0238,0.2
3,all_7,DecisionTree,0.9895±0.0031,0.9890,0.9891,0.9895,0.0009,0.0103,0.1
4,all_7,GradientBoosting,0.9855±0.0096,0.9848,0.9848,0.9855,0.0010,0.0114,44.9
5,all_7,LogisticRegression,0.9709±0.0058,0.9695,0.9696,0.9709,0.0036,0.1299,0.2
6,all_7,MLP,0.9723±0.0090,0.9710,0.9710,0.9723,0.0018,0.0227,2.6
7,all_7,GaussianNB,0.9945±0.0023,0.9943,0.9943,0.9945,0.0004,0.0069,0.1
8,all_7,XGBoost,0.9909±0.0032,0.9905,0.9905,0.9909,0.0007,0.0136,2.4
9,all_7,LightGBM,0.9918±0.0059,0.9914,0.9914,0.9918,0.0006,0.0071,3.2
10,top_5,RandomForest,0.9918±0.0018,0.9914,0.9915,0.9918,0.0007,0.0305,1.8
11,top_5,SVM_RBF,0.9850±0.0060,0.9843,0.9843,0.9849,0.0018,0.1099,0.5
12,top_5,KNN,0.9805±0.0047,0.9795,0.9796,0.9805,0.0012,0.0141,0.2
13,top_5,DecisionTree,0.9877±0.0037,0.9871,0.9872,0.9877,0.0009,0.0106,0.1
14,top_5,GradientBoosting,0.9832±0.0102,0.9824,0.9824,0.9832,0.0014,0.0164,31.8
15,top_5,LogisticRegression,0.9705±0.0086,0.9690,0.9692,0.9702,0.0047,0.1747,0.2
16,top_5,MLP,0.9695±0.0062,0.9681,0.9683,0.9694,0.0021,0.0316,2.3
17,top_5,GaussianNB,0.9905±0.0033,0.9900,0.9900,0.9904,0.0007,0.0102,0.1
18,top_5,XGBoost,0.9886±0.0041,0.9881,0.9881,0.9886,0.0009,0.0124,2.1
19,top_5,LightGBM,0.9900±0.0037,0.9895,0.9895,0.9900,0.0007,0.0098,2.8
20,top_4,RandomForest,0.9768±0.0066,0.9757,0.9758,0.9768,0.0015,0.0285,1.9
21,top_4,SVM_RBF,0.9695±0.0042,0.9681,0.9682,0.9696,0.0028,0.1080,0.5
22,top_4,KNN,0.9673±0.0023,0.9657,0.9658,0.9668,0.0022,0.0170,0.2
23,top_4,DecisionTree,0.9745±0.0072,0.9733,0.9734,0.9747,0.0022,0.0225,0.1
24,top_4,GradientBoosting,0.9686±0.0063,0.9671,0.9672,0.9690,0.0026,0.0296,33.4
25,top_4,LogisticRegression,0.9436±0.0124,0.9410,0.9411,0.9424,0.0080,0.2321,0.2
26,top_4,MLP,0.9536±0.0067,0.9514,0.9516,0.9534,0.0032,0.0377,2.2
