,Crop,Precision,Recall,F1-Score,Support
0,apple,1.0,1.0,1.0,20.0
1,banana,1.0,1.0,1.0,20.0
2,blackgram,1.0,0.95,0.9743589743589743,20.0
3,chickpea,1.0,1.0,1.0,20.0
4,coconut,1.0,1.0,1.0,20.0
5,coffee,1.0,1.0,1.0,20.0
6,cotton,1.0,1.0,1.0,20.0
7,grapes,1.0,1.0,1.0,20.0
8,jute,0.9523809523809523,1.0,0.975609756097561,20.0
9,kidneybeans,1.0,1.0,1.0,20.0
10,lentil,1.0,1.0,1.0,20.0
11,maize,0.9523809523809523,1.0,0.975609756097561,20.0
12,mango,1.0,1.0,1.0,20.0
13,mothbeans,1.0,1.0,1.0,20.0
14,mungbean,1.0,1.0,1.0,20.0
15,muskmelon,1.0,1.0,1.0,20.0
16,orange,1.0,1.0,1.0,20.0
17,papaya,1.0,1.0,1.0,20.0
18,pigeonpeas,1.0,1.0,1.0,20.0
19,pomegranate,1.0,1.0,1.0,20.0
20,rice,1.0,0.95,0.9743589743589743,20.0
21,watermelon,1.0,1.0,1.0,20.0
