,Feature Set,Classifier,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std,Train Time (s)
0,all_features,RandomForest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9943181818181817,0.004753750150761782,0.32
1,all_features,SVM_RBF,0.9886363636363636,0.9895710350255805,0.9886363636363636,0.9886735002267738,0.9852272727272728,0.006066521734108684,0.11
2,all_features,KNN,0.9818181818181818,0.9828807556080283,0.9818181818181818,0.9817369194776128,0.9664772727272727,0.005508727110700365,0.0
3,all_features,DecisionTree,0.9818181818181818,0.9829791420700512,0.9818181818181818,0.9816944573042136,0.9852272727272726,0.007707193162642353,0.01
4,all_features,GradientBoosting,0.9863636363636363,0.9874694146433277,0.9863636363636363,0.986449882475646,0.9846590909090909,0.005567022142689029,9.05
5,all_features,LogisticRegression,0.9727272727272728,0.974021729904083,0.9727272727272728,0.9724640256149185,0.9676136363636363,0.011306675421666133,0.03
6,all_features,MLP,0.990909090909091,0.991538764266037,0.990909090909091,0.990894856106666,0.9630681818181819,0.009675787707912735,0.8
7,all_features,GaussianNB,0.9954545454545455,0.9958677685950413,0.9954545454545455,0.9954431533378901,0.9943181818181819,0.005081972676135881,0.0
8,all_features,XGBoost,0.9886363636363636,0.9893742621015349,0.9886363636363636,0.9884930494686593,0.9897727272727274,0.004615930911724961,0.48
9,all_features,LightGBM,0.9886363636363636,0.9890692640692641,0.9886363636363636,0.9885693360982193,0.9903409090909092,0.007320510640184733,0.54
10,top5,RandomForest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9914772727272727,0.0059591411827849515,0.32
11,top5,SVM_RBF,0.9886363636363636,0.989343192692475,0.9886363636363636,0.9886166465113834,0.9829545454545455,0.005959141182784941,0.08
12,top5,KNN,0.9863636363636363,0.987987012987013,0.9863636363636363,0.986270387656197,0.9789772727272729,0.008154943235458699,0.0
13,top5,DecisionTree,0.9840909090909091,0.9844155844155843,0.9840909090909091,0.9840821566110399,0.984659090909091,0.0055670221426890225,0.0
14,top5,GradientBoosting,0.9886363636363636,0.9892660369933097,0.9886363636363636,0.9886221288339387,0.98125,0.008154943235458706,6.4
15,top5,LogisticRegression,0.975,0.9771334327554423,0.975,0.9748955835984663,0.965909090909091,0.005390246011650637,0.03
16,top5,MLP,0.9818181818181818,0.9823168458335921,0.9818181818181818,0.981804171438318,0.9653409090909092,0.011134044285378094,0.67
17,top5,GaussianNB,0.990909090909091,0.9911141490088857,0.990909090909091,0.9909034055375517,0.9892045454545453,0.005207472380631634,0.0
18,top5,XGBoost,0.9863636363636363,0.9874065328610783,0.9863636363636363,0.9862716935887668,0.9857954545454545,0.005959141182784941,0.44
19,top5,LightGBM,0.9840909090909091,0.9846009652229748,0.9840909090909091,0.9840183992302093,0.9863636363636363,0.00606652173410868,0.47
20,top4,RandomForest,0.9704545454545455,0.9722799422799423,0.9704545454545455,0.9705901216170794,0.9778409090909091,0.0068181818181818265,0.32
21,top4,SVM_RBF,0.9727272727272728,0.97431842421961,0.9727272727272728,0.9729056603306537,0.9630681818181819,0.008035304331665313,0.07
22,top4,KNN,0.9522727272727273,0.9520384121460675,0.9522727272727273,0.9511113547698913,0.9619318181818182,0.007537783614444089,0.0
23,top4,DecisionTree,0.9568181818181818,0.9599472990777338,0.9568181818181818,0.958031255347433,0.9670454545454545,0.006119505462652887,0.0
24,top4,GradientBoosting,0.9727272727272728,0.9750084577835775,0.9727272727272728,0.9729539466381573,0.9630681818181817,0.01191828236556991,6.73
25,top4,LogisticRegression,0.9454545454545454,0.9459107892200256,0.9454545454545454,0.9440857887545109,0.9392045454545453,0.0063778250910919215,0.03
26,top4,MLP,0.9568181818181818,0.9583713483313026,0.9568181818181818,0.9552367337367081,0.947159090909091,0.011017454221400751,0.53
27,top4,GaussianNB,0.9818181818181818,0.9823479152426521,0.9818181818181818,0.9819219398487691,0.9738636363636364,0.007050950935222087,0.0
28,top4,XGBoost,0.9636363636363636,0.9652285761591737,0.9636363636363636,0.9631635859631854,0.9727272727272729,0.012265359741433467,0.42
29,top4,LightGBM,0.9681818181818181,0.9696348308788499,0.9681818181818181,0.9685432239989363,0.971590909090909,0.008616903913694955,0.47
30,top3,RandomForest,0.9636363636363636,0.9665032214374318,0.9636363636363636,0.9635705255908463,0.95625,0.011448546408869255,0.27
31,top3,SVM_RBF,0.9568181818181818,0.9639905548996458,0.9568181818181818,0.9551404042231819,0.9409090909090908,0.012499999999999992,0.07
32,top3,KNN,0.9386363636363636,0.9435489804807986,0.9386363636363636,0.9347868989422584,0.9357954545454545,0.010258789821174879,0.0
33,top3,DecisionTree,0.95,0.9509759246601351,0.95,0.9500758120783795,0.946590909090909,0.010227272727272701,0.0
34,top3,GradientBoosting,0.9522727272727273,0.9572203223457144,0.9522727272727273,0.9519013820237648,0.9494318181818182,0.010690277114901595,6.29
35,top3,LogisticRegression,0.9,0.9024483886260215,0.9,0.8946425593334271,0.8988636363636363,0.022556174137817298,0.03
36,top3,MLP,0.95,0.954978354978355,0.95,0.9463490404705934,0.9107954545454545,0.012396263766631494,0.51
37,top3,GaussianNB,0.9590909090909091,0.9641184573002755,0.9590909090909091,0.9576018957999058,0.953409090909091,0.009266765017215971,0.0
38,top3,XGBoost,0.9590909090909091,0.9598029854249949,0.9590909090909091,0.9579969061034529,0.9482954545454545,0.012370193782430264,0.47
39,top3,LightGBM,0.9477272727272728,0.9480585071494163,0.9477272727272728,0.9469795608755814,0.9460227272727272,0.009675787707912702,0.49
